order_id,order_date,customer_id,product_id,quantity,discount,sales
O00198,2025-04-08,C0139,P0144,5,0.04,42549.31
O00199,2025-09-13,C0123,P0063,1,0.2,23295.7
O00200,2026-06-10,C0272,P0058,4,0.02,66965.01
O00201,2024-08-16,C0212,P0085,8,0.03,256801.91
O00202,2025-03-07,C0071,P0002,9,0.29,287628.85
O00203,2024-08-14,C0081,P0105,8,0.14,32687.84
O00204,2025-11-17,C0103,P0194,5,0.1,6951.42
O00205,2024-10-10,C0031,P0197,2,0.2,59729.57
O00206,2026-06-23,C0119,P0137,1,0.27,367.99
O00207,2025-11-29,C0090,P0107,3,0.28,76248.09
O00208,2025-11-24,C0019,P0102,8,0.06,77136.85
O00209,2025-06-27,C0149,P0010,1,0.09,15311.56
O00210,2024-12-23,C0055,P0086,5,0.14,48667.36
O00211,2025-09-08,C0279,P0135,8,0.27,69709.51
O00212,2025-06-13,C0069,P0130,8,0.08,335985.25
O00213,2025-06-23,C0058,P0085,3,0.22,77437.69
O00214,2025-08-29,C0132,P0184,3,0.0,138470.85
O00215,2025-06-14,C0173,P0076,10,0.2,34804.24
O00216,2025-01-21,C0099,P0045,10,0.26,10221.99
O00217,2025-12-06,C0208,P0110,9,0.1,138184.14
O00218,2024-08-10,C0206,P0172,2,0.06,48335.87
O00219,2026-04-27,C0072,P0123,6,0.28,8170.72
O00220,2026-03-31,C0004,P0067,7,0.07,62872.86
O00221,2025-01-02,C0137,P0085,5,0.17,137336.07
O00222,2025-01-23,C0294,P0003,5,0.2,80719.12
O00223,2025-09-12,C0121,P0016,2,0.14,18954.69
O00224,2026-01-14,C0082,P0104,9,0.28,230157.68
O00225,2026-03-24,C0160,P0177,2,0.19,12153.01
O00226,2026-06-09,C0152,P0095,10,0.07,295514.57
O00227,2025-07-20,C0069,P0123,3,0.14,4879.73
O00228,2025-03-23,C0192,P0107,9,0.27,231921.26
O00229,2024-10-30,C0276,P0171,4,0.23,81163.14
O00230,2024-09-28,C0042,P0135,8,0.16,80213.68
O00231,2026-06-14,C0186,P0020,10,0.03,432734.56
O00232,2024-12-12,C0281,P0130,4,0.17,151558.56
O00233,2025-10-10,C0077,P0043,6,0.26,37618.7
O00234,2025-05-29,C0227,P0030,4,0.22,84106.5
O00235,2025-10-03,C0251,P0024,9,0.13,132004.33
O00236,2025-08-05,C0029,P0117,3,0.15,123024.09
O00237,2025-10-25,C0234,P0145,1,0.17,20865.83
O00238,2025-01-11,C0158,P0186,1,0.12,2721.88
O00239,2025-07-21,C0002,P0191,4,0.17,126671.35
O00240,2025-07-14,C0024,P0109,6,0.21,176991.6
O00241,2025-08-22,C0278,P0016,2,0.3,15428.24
O00242,2025-07-06,C0242,P0009,5,0.12,145097.26
O00243,2025-07-31,C0070,P0197,7,0.11,232572.01
O00244,2025-02-07,C0196,P0115,7,0.11,14191.94
O00245,2024-11-11,C0277,P0035,6,0.04,185317.69
O00246,2026-06-19,C0276,P0101,9,0.04,156840.11
O00247,2024-08-29,C0115,P0001,1,0.29,32692.99
O00248,2026-05-31,C0238,P0173,9,0.13,17726.49
O00249,2024-07-15,C0195,P0059,4,0.14,2086.5
O00250,2025-07-14,C0080,P0071,4,0.28,100515.25
O00251,2025-08-16,C0058,P0009,7,0.18,189285.97
O00252,2025-07-16,C0009,P0062,4,0.02,57946.85
O00253,2025-12-19,C0018,P0115,10,0.2,18224.0
O00254,2025-03-18,C0025,P0063,1,0.12,25625.27
O00255,2024-11-22,C0120,P0139,4,0.23,93609.02
O00256,2025-11-12,C0029,P0036,9,0.3,82415.34
O00257,2024-12-16,C0120,P0188,10,0.1,24004.44
O00258,2025-01-03,C0165,P0061,5,0.26,119623.04
O00259,2026-06-23,C0267,P0057,7,0.09,271123.44
O00260,2026-05-12,C0032,P0143,10,0.26,49265.13
O00261,2026-06-18,C0090,P0161,7,0.17,284970.56
O00262,2024-09-01,C0025,P0089,7,0.24,186288.9
O00263,2026-05-25,C0164,P0179,7,0.12,140080.86
O00264,2026-02-01,C0154,P0097,3,0.23,47680.92
O00265,2025-02-17,C0243,P0062,4,0.09,53807.79
O00266,2025-07-06,C0074,P0119,1,0.17,30004.46
O00267,2024-07-07,C0214,P0143,9,0.04,57520.37
O00268,2025-07-07,C0125,P0066,4,0.1,57045.02
O00269,2024-09-10,C0041,P0116,6,0.03,287635.23
O00270,2024-11-22,C0098,P0014,5,0.11,85709.36
O00271,2026-03-31,C0021,P0019,4,0.24,48436.84
O00272,2025-04-24,C0287,P0056,8,0.06,214586.96
O00273,2025-06-25,C0171,P0078,1,0.06,21225.83
O00274,2025-10-11,C0098,P0190,2,0.22,66111.26
O00275,2026-03-16,C0246,P0063,10,0.21,230045.0
O00276,2025-11-17,C0204,P0062,9,0.1,119737.12
O00277,2026-06-17,C0145,P0098,8,0.16,12977.6
O00278,2026-06-16,C0184,P0079,5,0.11,68256.19
O00279,2025-01-30,C0255,P0120,2,0.24,35761.92
O00280,2026-06-11,C0241,P0195,6,0.27,77158.39
O00281,2025-10-19,C0190,P0081,7,0.01,28768.16
O00282,2024-09-17,C0114,P0190,3,0.0,127137.03
O00283,2025-08-26,C0284,P0150,10,0.22,177791.8
O00284,2025-09-21,C0152,P0040,4,0.1,7591.97
O00285,2025-11-19,C0195,P0146,4,0.15,164466.4
O00286,2025-07-03,C0173,P0066,8,0.29,90004.37
O00287,2024-10-27,C0252,P0118,3,0.22,102309.71
O00288,2025-06-18,C0181,P0044,3,0.22,91053.66
O00289,2025-10-21,C0251,P0048,9,0.3,253863.85
O00290,2026-06-16,C0031,P0135,1,0.25,8952.42
O00291,2026-03-14,C0039,P0172,1,0.23,19797.14
O00292,2024-11-12,C0212,P0036,4,0.02,51280.66
O00293,2026-04-15,C0078,P0003,4,0.15,68611.25
O00294,2025-02-05,C0192,P0016,10,0.19,89263.38
O00295,2024-09-29,C0248,P0169,8,0.0,6732.24
O00296,2025-04-04,C0273,P0142,7,0.0,108610.25
O00297,2025-10-27,C0272,P0185,5,0.16,90932.69
O00298,2024-12-17,C0147,P0005,9,0.24,194928.71
O00299,2024-08-13,C0221,P0046,2,0.28,67794.31
O00300,2025-05-27,C0269,P0039,4,0.06,187982.7
O00301,2026-01-01,C0270,P0065,6,0.08,75175.39
O00302,2025-07-25,C0204,P0021,6,0.29,158507.83
O00303,2024-09-01,C0236,P0145,4,0.3,70390.77
O00304,2024-12-12,C0116,P0077,2,0.2,47754.77
O00305,2026-06-17,C0017,P0024,7,0.11,105030.26
O00306,2025-01-02,C0283,P0122,1,0.19,15440.6
O00307,2024-10-03,C0088,P0022,8,0.25,83627.04
O00308,2024-09-16,C0170,P0145,2,0.27,36703.76
O00309,2025-01-20,C0022,P0059,4,0.27,1771.1
O00310,2026-04-22,C0291,P0122,5,0.01,94359.23
O00311,2025-12-25,C0039,P0176,5,0.27,166053.36
O00312,2024-06-29,C0289,P0169,1,0.05,799.45
O00313,2026-04-11,C0162,P0005,4,0.18,93474.59
O00314,2026-06-17,C0204,P0020,5,0.05,211906.1
O00315,2024-06-30,C0124,P0146,7,0.2,270885.83
O00316,2026-06-03,C0277,P0085,7,0.23,178371.43
O00317,2025-03-13,C0072,P0177,2,0.15,12753.16
O00318,2025-12-07,C0178,P0014,2,0.13,33513.32
O00319,2025-04-23,C0039,P0088,10,0.23,354719.83
O00320,2025-04-30,C0204,P0199,6,0.01,25775.8
O00321,2025-03-18,C0140,P0116,8,0.07,367698.64
O00322,2026-01-13,C0284,P0097,7,0.06,135818.37
O00323,2025-05-02,C0300,P0170,7,0.03,6025.99
O00324,2025-07-25,C0152,P0064,2,0.02,97670.54
O00325,2024-10-31,C0079,P0098,3,0.22,4518.98
O00326,2026-04-21,C0163,P0093,2,0.03,55978.16
O00327,2025-03-04,C0158,P0114,6,0.23,226567.8
O00328,2026-02-02,C0053,P0034,2,0.06,85268.81
O00329,2024-10-16,C0230,P0143,9,0.15,50929.49
O00330,2026-05-16,C0053,P0007,2,0.11,28800.83
O00331,2024-12-29,C0048,P0153,10,0.24,84711.27
O00332,2026-04-03,C0198,P0004,5,0.12,146431.91
O00333,2024-12-24,C0044,P0186,9,0.27,20321.34
O00334,2024-11-13,C0125,P0147,9,0.05,200666.28
O00335,2026-02-21,C0195,P0044,3,0.08,107396.62
O00336,2024-08-15,C0138,P0127,3,0.02,52882.72
O00337,2025-07-14,C0223,P0071,7,0.09,222320.2
O00338,2025-05-09,C0040,P0093,5,0.28,103876.99
O00339,2025-07-17,C0254,P0153,10,0.06,104774.47
O00340,2025-06-20,C0055,P0035,5,0.0,160866.05
O00341,2025-09-02,C0203,P0086,10,0.11,100730.11
O00342,2025-05-17,C0169,P0113,6,0.13,144284.35
O00343,2025-05-13,C0070,P0077,6,0.18,146845.91
O00344,2026-06-18,C0103,P0123,6,0.05,10780.81
O00345,2024-11-04,C0204,P0082,5,0.22,910.73
O00346,2024-11-28,C0252,P0148,4,0.1,130458.28
O00347,2026-05-20,C0144,P0101,6,0.03,105649.24
O00348,2025-04-05,C0289,P0052,10,0.3,54139.82
O00349,2026-05-16,C0093,P0175,9,0.01,377607.58
O00350,2026-06-27,C0237,P0182,4,0.13,144031.01
O00351,2026-03-30,C0150,P0178,2,0.25,41194.48
O00352,2025-02-07,C0210,P0173,8,0.04,17386.91
O00353,2025-10-16,C0156,P0062,5,0.2,59129.44
O00354,2024-10-03,C0217,P0097,2,0.13,35915.5
O00355,2026-05-05,C0246,P0150,7,0.16,134027.66
O00356,2025-03-23,C0215,P0140,1,0.24,9580.77
O00357,2025-08-05,C0185,P0180,9,0.18,314789.18
O00358,2025-08-30,C0044,P0028,4,0.2,3438.85
O00359,2026-05-12,C0182,P0043,10,0.01,83879.53
O00360,2024-08-15,C0205,P0193,6,0.29,118774.38
O00361,2025-09-25,C0221,P0028,1,0.03,1042.4
O00362,2024-07-19,C0114,P0131,9,0.17,172053.3
O00363,2024-12-14,C0295,P0057,8,0.11,303045.36
O00364,2025-08-22,C0238,P0198,10,0.21,62842.29
O00365,2024-12-07,C0078,P0089,1,0.14,30114.37
O00366,2025-07-18,C0152,P0107,2,0.03,68482.08
O00367,2026-05-24,C0073,P0090,5,0.1,98748.76
O00368,2025-09-07,C0106,P0134,8,0.1,304420.82
O00369,2024-12-24,C0050,P0113,8,0.1,199012.9
O00370,2025-05-18,C0154,P0012,2,0.01,24388.93
O00371,2024-08-30,C0176,P0166,2,0.2,65074.14
O00372,2025-11-25,C0085,P0190,4,0.15,144088.63
O00373,2025-03-23,C0283,P0041,6,0.17,154901.16
O00374,2025-11-19,C0237,P0060,7,0.19,115558.91
O00375,2024-07-01,C0096,P0164,7,0.12,242464.07
O00376,2026-05-14,C0102,P0116,10,0.13,429970.18
O00377,2026-04-23,C0003,P0181,4,0.06,162763.14
O00378,2026-04-18,C0033,P0148,2,0.24,55082.38
O00379,2025-04-14,C0275,P0048,6,0.1,217597.59
O00380,2026-04-11,C0235,P0030,5,0.2,107828.84
O00381,2024-09-30,C0251,P0136,6,0.18,72973.49
O00382,2025-04-01,C0201,P0151,2,0.1,34403.71
O00383,2024-07-17,C0235,P0159,3,0.24,46660.15
O00384,2025-05-16,C0153,P0158,10,0.03,429536.86
O00385,2024-11-28,C0069,P0081,2,0.07,7721.32
O00386,2026-06-16,C0060,P0047,6,0.21,57914.17
O00387,2025-11-01,C0262,P0100,7,0.18,249583.47
O00388,2026-05-14,C0295,P0099,7,0.06,319210.41
O00389,2025-12-08,C0276,P0178,3,0.17,68382.85
O00390,2025-03-28,C0251,P0074,3,0.06,115968.47
O00391,2025-09-26,C0231,P0159,1,0.26,15144.09
O00392,2025-04-20,C0005,P0125,3,0.06,99332.1
O00393,2025-12-21,C0197,P0144,9,0.2,63823.97
O00394,2025-03-18,C0210,P0176,8,0.12,320278.25
O00395,2024-12-25,C0228,P0126,3,0.02,132831.73
O00396,2024-12-21,C0016,P0195,4,0.09,64122.49
O00397,2025-04-15,C0141,P0058,9,0.09,139909.03
O00398,2026-01-05,C0235,P0145,8,0.16,168937.84
O00399,2025-04-27,C0058,P0147,2,0.08,43184.32
O00400,2024-12-15,C0279,P0094,9,0.25,220119.66
